"","X","SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents"
"26262",26262,0,0.9999999,56,0,0.104947396,11500,4,0,2,0,3
"590",590,0,0,51,0,0.238076192,10000,6,0,1,0,0
"145614",145614,0,0.579439539,39,0,0.66237783,8082,23,0,2,0,2
"77753",77753,0,0.028517348,63,0,0.241662391,7795,3,0,1,0,0
"129298",129298,0,0.009350406,72,0,10,NA,7,0,0,0,NA
"26403",26403,0,0.023121523,74,0,0.414234306,2500,4,0,1,0,0
"7454",7454,0,0.010574136,75,0,0.005244755,2287,6,0,0,0,0
"136640",136640,0,0.9999999,48,0,0.104221369,4950,4,0,0,0,0
"129712",129712,0,0.021268822,72,0,0.024162618,7821,6,0,0,0,0
"16646",16646,0,0.53358713,61,0,0.264074179,10568,8,0,1,0,0
"61804",61804,0,0.002287291,66,1,3,NA,6,0,0,0,0
"45586",45586,0,0.228244639,62,0,0.415033986,2500,12,0,0,0,0
"132678",132678,0,0,39,0,0.135042936,8500,9,0,1,0,3
"111041",111041,0,0.29495531,63,1,0.382522825,5366,7,0,2,0,0
"26877",26877,0,0.191617616,43,0,0.147463134,4000,4,0,0,0,0
"84528",84528,0,0.507324634,67,1,0.505003336,4496,7,0,2,0,1
"135293",135293,0,0.06843438,42,0,2525,NA,7,0,2,0,0
"119181",119181,0,0.745640153,27,0,61,NA,6,0,0,0,1
"56987",56987,0,0.939071293,47,1,1.255066198,3700,25,0,2,0,1
"91828",91828,0,0.583226806,53,0,0.400590733,10833,15,0,2,0,2
"119056",119056,0,0.026306722,60,0,5.183228743,14500,14,0,3,0,1
"56007",56007,0,0.304794215,26,0,0.082296849,4823,11,0,0,0,0
"64755",64755,0,0.183071368,59,0,0.350526134,11593,10,0,2,0,1
"137792",137792,0,0.365962576,43,0,0.845009597,2083,8,0,1,0,3
"123959",123959,0,0.007228625,88,0,5,NA,8,0,0,0,0
"22795",22795,0,0.350162459,27,0,0.307216495,1454,4,0,0,0,1
"1535",1535,0,0.019139302,43,0,8.007968127,250,11,0,1,0,2
"8533",8533,0,0.18769117,49,0,0.749432003,3080,8,0,1,0,3
"95007",95007,0,0.242307098,61,0,0.24051539,18160,8,0,2,0,0
"97482",97482,0,0.02133301,70,0,1836,NA,9,0,1,0,0
"35803",35803,0,0.9999999,27,0,0.194041552,2550,1,1,0,0,0
"40144",40144,0,0.077650486,38,0,0.070697816,6548,5,0,0,0,2
"1018",1018,0,0.115428519,41,0,0.278969295,6480,12,1,1,1,0
"77029",77029,0,0.073782867,50,0,0.240207851,22900,13,0,1,0,3
"75034",75034,0,1.278065385,68,0,2703,NA,15,0,2,0,1
"4680",4680,0,0.282367086,37,0,3154,NA,8,0,1,0,0
"8040",8040,0,0.181757578,55,0,0.437683715,3401,7,0,1,0,0
"114449",114449,0,0,63,0,0,1920,2,0,0,0,0
"40511",40511,0,0.001446778,74,0,1590,NA,10,0,1,0,0
"127259",127259,0,0.295319271,26,0,0.184016242,5417,10,0,0,0,0
"106401",106401,0,0.198215653,39,1,0.389561044,10000,15,0,2,0,2
"76788",76788,0,0.439156084,45,0,0.924776681,2126,5,0,1,0,2
"69326",69326,0,0.098940457,24,0,0.470623864,1650,5,0,0,0,0
"108886",108886,0,0.800295262,28,0,254,0,4,0,0,0,2
"32962",32962,0,0.029924252,48,0,0.011998629,2916,5,0,0,0,0
"59599",59599,0,0.260566231,60,0,0.320854947,16000,13,0,1,0,0
"109293",109293,0,0.079630419,56,0,0.175329845,17583,10,0,2,0,1
"33183",33183,0,0.040326924,49,4,3665,NA,16,0,1,0,0
"57212",57212,0,0.9999999,49,1,0.409821817,2300,2,0,0,0,3
"7210",7210,0,0.244146321,76,0,0.187140115,2083,3,0,1,0,0
"94604",94604,0,0,62,0,0,5644,1,0,0,0,0
"126380",126380,0,0.812775719,59,0,0.616918257,3510,5,0,0,0,0
"95213",95213,0,0.587760816,39,0,0.396714048,5416,7,0,2,0,1
"41116",41116,0,0.000571408,68,0,0.126449531,9916,4,0,2,0,1
"114582",114582,0,0.02322768,48,0,0.184714328,6685,13,0,0,0,0
"51611",51611,1,0.3504802,49,0,0.278200391,4600,6,0,1,0,3
"113392",113392,0,0.5004995,54,1,0.203263739,4166,7,0,0,0,2
"20310",20310,0,0.112160436,35,0,0.283452758,6000,15,0,1,0,3
"108401",108401,0,0.885332948,46,0,0.308819995,4160,6,0,0,0,0
"76693",76693,0,0.070796213,61,0,0.221950678,4500,9,0,1,0,2
"29452",29452,0,0.90964784,62,0,0.406823302,6213,7,0,1,0,1
"73273",73273,0,0.120111509,71,0,0.029656781,3000,5,0,0,0,2
"12644",12644,0,0.036221216,70,0,0.018990505,2000,5,0,0,0,0
"68860",68860,0,0.526007428,81,1,0.415247678,2583,11,0,0,0,0
"63510",63510,0,0.147818937,77,0,0.094581084,5000,6,0,1,0,0
"117172",117172,0,0.398189569,32,0,0.503894345,2952,8,0,0,0,3
"9954",9954,0,0.006831737,37,0,0.445592401,6000,7,0,2,0,2
"120703",120703,0,0.412430642,37,0,0.26776,12499,11,0,1,0,3
"35634",35634,0,0.010696949,64,0,0.211010864,5430,18,0,2,0,0
"117505",117505,1,0.320545274,51,4,0.530182758,5416,18,0,2,0,2
"135984",135984,0,0.855190802,27,2,0.292715232,4529,8,0,0,0,0
"110917",110917,1,0.9999999,37,0,0,2040,1,1,0,0,0
"10244",10244,0,0.986005598,54,0,509,NA,2,1,1,0,0
"36278",36278,0,0.001235886,82,0,0,3100,3,0,0,0,0
"57011",57011,1,1.784035994,30,1,0.195601466,3000,9,0,0,1,0
"95723",95723,0,0.189185084,60,0,0.036515474,6106,4,0,0,0,0
"116132",116132,0,0.535955143,34,0,0.192955769,8545,5,0,0,0,0
"129277",129277,0,0,57,0,0.060046189,3463,4,0,0,0,0
"16056",16056,0,0.9999999,24,0,0,NA,0,0,0,0,0
"8571",8571,0,0.928433718,52,0,0.635571899,5166,13,0,2,0,2
"34914",34914,0,0.934095902,50,0,0.253679654,6929,7,0,0,0,2
"149856",149856,0,0.472800491,29,0,0.224752805,9000,12,0,2,0,0
"113520",113520,0,0.07810459,69,0,1.143283582,2009,8,0,2,0,0
"36982",36982,0,0.445703733,51,0,0.667607843,6374,15,0,2,0,0
"131188",131188,0,0.381035435,72,1,1.540918164,1001,13,0,0,0,0
"110451",110451,0,0.049194392,53,1,0.597400433,6000,15,0,2,0,0
"102587",102587,1,0.284935753,58,2,0.035376434,53594,8,0,1,0,2
"12622",12622,0,0.017871865,63,0,3050.5,1,9,0,2,0,2
"74040",74040,0,0.035549569,39,0,1897,NA,15,0,2,0,2
"86266",86266,0,0.443471074,39,0,0.141469546,8750,8,0,1,0,1
"133609",133609,0,0.810679331,53,0,0.425458029,8350,5,0,2,0,1
"15676",15676,0,0.010359631,65,0,0.19054183,9430,13,0,2,0,0
"13965",13965,0,0.896236792,43,0,0.486566485,8783,8,0,4,0,1
"126902",126902,0,0.085849471,49,0,0.261273466,10333,11,0,1,0,2
"108994",108994,0,0.301585491,53,1,0.801351859,2662,15,0,2,1,1
"103623",103623,0,0.000565459,66,0,0.82017982,1000,7,0,2,0,0
"63120",63120,0,0.28329798,28,0,0.194208947,7666,29,0,1,0,0
"8664",8664,0,0.969170459,48,1,0.485768501,6850,7,0,1,1,0
"32728",32728,0,0.097146137,75,0,0.261469265,3334,20,0,1,0,0
"60959",60959,0,0.056613282,44,0,1745,NA,13,0,1,0,2
"98212",98212,0,0.130331557,68,0,327,NA,8,0,0,0,0
"119758",119758,0,0.619059202,47,0,0.227840469,11608,24,0,0,0,0
"19408",19408,0,0.061123291,64,0,0.244721357,17333,15,0,3,0,1
"110983",110983,0,0.010567189,72,0,2423,NA,9,0,2,0,0
"2517",2517,0,0.306986638,67,0,0.38263478,12000,12,0,2,0,0
"103865",103865,0,0.032539954,42,0,0.230814099,12000,7,0,1,0,0
"89192",89192,0,0,61,3,0.081700675,12300,20,0,1,0,0
"12059",12059,0,0.718053365,42,0,0.349109609,10500,10,0,1,0,4
"108365",108365,0,0,98,0,0.096361455,2500,6,0,0,0,0
"123883",123883,0,0.002217295,57,0,0.376861645,4632,8,0,1,0,0
"58627",58627,0,0.210631561,25,0,0.678440926,820,5,0,0,0,0
"98602",98602,0,0.050693036,52,0,0.255756579,12159,8,0,2,0,8
"113797",113797,0,0.004999,78,0,0,6220,3,0,0,0,0
"80109",80109,0,0.255109605,49,0,0.327358279,4462,8,0,1,0,0
"79226",79226,0,0.880127864,49,0,0.470003315,6033,8,0,1,0,0
"97318",97318,0,0.088432877,58,1,0.644974566,5700,19,0,1,0,2
"107890",107890,0,0.100770128,66,0,0.15900976,4200,7,0,1,0,0
"72104",72104,0,0.027246133,56,0,0.294074401,6800,8,0,2,0,0
"85135",85135,0,0.015332603,29,0,0.295963005,8000,6,0,2,0,1
"56907",56907,0,0.411281311,68,0,0.617862697,4500,21,0,1,0,0
"124944",124944,0,0.276289484,39,1,0.120575885,1666,6,0,0,0,0
"32637",32637,0,0.901713212,39,0,0.650874896,8400,19,0,1,0,1
"6076",6076,0,0.07035295,51,0,659,NA,5,0,1,0,1
"86259",86259,0,0.183607935,24,0,0.108963679,3000,13,0,0,0,0
"107620",107620,0,0.18558176,46,0,0.278148973,12122,12,0,2,0,1
"95078",95078,0,0.02906742,57,0,29,NA,6,0,0,0,0
"19278",19278,0,0.615663613,61,0,1.179663938,2320,16,0,1,0,0
"143298",143298,0,0.00039996,55,0,0.197973604,7500,8,0,1,0,2
"131489",131489,0,0,57,0,1537,NA,4,0,1,0,NA
"50170",50170,0,0.066073015,66,0,0.499545592,3300,6,0,1,0,0
"35621",35621,0,0,57,0,0,NA,2,0,0,0,0
"124475",124475,0,0.9999999,63,0,0.034835463,30600,4,1,0,0,1
"55460",55460,1,0.9999999,44,1,0.263248451,2905,3,1,0,1,5
"145176",145176,0,0.016507698,54,0,0.268827608,6200,13,0,2,0,3
"22647",22647,0,0.014312405,77,0,0.083783243,5000,15,0,0,0,1
"7621",7621,0,0.9999999,56,0,0.281317886,2761,2,0,0,0,0
"1122",1122,0,0.125014705,66,2,0.404638145,2500,4,0,1,0,0
"104862",104862,0,0.011376973,66,0,0.183977003,8000,8,0,1,0,1
"46837",46837,0,0.46626425,45,0,1935,NA,9,0,0,0,0
"65444",65444,0,1.163346614,47,3,0.215504632,2050,4,1,0,0,1
"47115",47115,0,0.841100244,65,0,2399,NA,9,0,1,0,0
"96692",96692,0,0.488068507,71,0,0.711428891,8950,15,0,2,0,1
"25186",25186,0,0.583428313,66,0,0.793855663,5500,6,0,2,0,0
"99618",99618,1,1.106312292,32,2,0.763309173,4000,6,0,1,0,1
"127182",127182,0,0.282185813,60,0,0.557055368,8000,24,0,2,0,4
"106791",106791,0,0.018180255,46,2,1842,NA,7,0,1,0,NA
"142453",142453,0,0.084970028,44,0,0.466766617,2000,4,0,1,0,1
"86159",86159,0,0.9999999,33,0,0.302353798,4120,5,0,0,0,0
"84982",84982,0,0.021554598,41,0,0.070149529,5416,4,0,0,0,2
"79690",79690,0,0.385334901,39,0,0.610634082,9083,10,0,2,0,0
"111052",111052,0,0.261232834,67,0,0.581477733,1975,13,0,0,0,0
"130944",130944,0,0.200598103,43,0,0.176051319,4208,6,0,0,0,2
"47182",47182,0,0.079546023,51,0,0.31692259,12633,7,0,3,0,1
"86446",86446,0,0.693429589,52,1,0.139799924,7896,10,0,0,0,1
"71529",71529,0,0.062863344,43,0,0.232773397,5833,6,0,1,0,2
"116036",116036,0,0.105643772,69,0,0.266530508,3916,10,0,1,0,0
"128401",128401,0,0.056153633,76,0,1406,NA,14,0,1,0,0
"63612",63612,0,0.087681641,39,0,0.173041348,20000,9,0,1,0,3
"5619",5619,0,0.022237736,69,0,0.005114668,6060,2,0,0,0,0
"53619",53619,0,0.300639103,66,0,2777,NA,6,0,2,0,0
"125043",125043,0,0.945527236,39,0,1580,NA,9,0,1,0,2
"118970",118970,0,0.186865503,69,0,0.309033281,8202,9,0,1,0,0
"59086",59086,0,0.1145819,47,0,0.128243266,6050,7,0,0,0,2
"79010",79010,0,0.581242416,63,0,2858,NA,24,0,0,0,0
"117518",117518,0,0.003332223,26,0,0.110028293,3180,6,0,0,0,0
"5918",5918,0,0.141917705,44,0,0.112071535,3354,6,0,0,0,1
"52538",52538,0,0.088628469,78,0,0.366589327,861,6,0,1,0,1
"25059",25059,0,0.421539943,27,2,0.163942308,6239,11,0,0,0,0
"18664",18664,0,0.698371894,59,2,1925,NA,5,0,1,0,0
"104774",104774,0,0.9999999,39,0,0.878886789,5820,6,0,4,0,0
"123753",123753,0,1.368871966,60,0,0.039417309,3500,5,3,0,1,0
"89864",89864,0,0.200496105,46,1,0.789685056,4730,9,0,2,0,2
"105576",105576,0,0.062780524,49,2,0.472759928,5010,11,0,2,0,2
"107381",107381,0,0.006083283,57,0,2398,NA,16,0,1,0,1
"74594",74594,1,0.362866199,70,0,0.44075272,3400,10,0,1,0,0
"29227",29227,0,0.055104296,39,0,0.238460257,6000,5,0,1,0,0
"34333",34333,0,0.0048867,50,0,0.069770026,9000,4,0,0,0,1
"110374",110374,0,0.288071193,44,0,0.452512497,3800,4,0,1,0,0
"65353",65353,0,0.042479174,63,0,0.233361897,3500,15,0,1,0,0
"138806",138806,0,0.044842704,72,0,0.088252259,5200,6,0,0,0,1
"93622",93622,0,0.284362823,63,0,0.382230888,20000,17,0,5,0,0
"142876",142876,0,0.66945704,38,1,0.327002477,3632,5,0,0,0,2
"16386",16386,0,0.004322786,71,0,762,NA,11,0,1,0,0
"128623",128623,0,0.735008567,44,0,0.314421395,4000,9,0,1,1,0
"43480",43480,1,0.214494347,54,2,2792,NA,15,0,2,0,0
"36840",36840,0,0.250058331,29,0,0.523431867,4160,8,0,1,0,0
"63727",63727,1,0.705352976,46,1,0.202037351,5300,4,0,0,0,3
"15260",15260,0,0.031458907,49,0,0.087762067,2050,9,0,0,0,0
"17287",17287,0,0.892602114,37,0,93,NA,1,0,0,0,0
"126278",126278,0,0.032151266,48,0,0.228438578,6666,15,0,1,0,0
"34539",34539,0,0.023269316,74,0,443,NA,12,0,1,0,NA
"38375",38375,0,0.621251085,86,0,0.249392944,7000,11,0,0,1,0
"140063",140063,0,0.069475498,71,0,0.423235201,3158,9,0,1,0,0
"2550",2550,0,0.423639586,39,0,0.15797684,33333,10,0,2,0,2
"1968",1968,0,0.504430534,25,0,0.188216476,3750,13,0,0,0,0
"44396",44396,0,0.25401247,75,0,0.58459266,8800,15,0,2,0,0
"113297",113297,0,0.001764602,46,0,1.459653317,1672,8,0,2,0,0
"125195",125195,0,0.06041171,36,0,0.992003199,2500,13,0,2,0,1
"20560",20560,0,0.008883489,51,0,0.331769612,7673,18,0,1,0,0
"106476",106476,0,0.075006541,60,0,1060,NA,9,0,1,0,0
"56548",56548,0,0.9999999,52,98,0,3700,0,98,0,98,0
"29870",29870,0,0.165844527,74,0,2.157579389,3337,22,0,5,0,0
"149606",149606,0,0.02896352,64,0,12,NA,2,0,0,0,0
"98128",98128,0,0.064988586,39,0,0.343145097,6250,8,0,1,0,3
"2393",2393,0,0.005775151,61,0,0.281690141,5750,8,0,1,0,0
"3930",3930,1,1.022995401,30,0,0.612690504,6823,14,7,2,1,0
"141983",141983,0,0,38,0,0.018882509,9055,7,0,0,0,3
"64835",64835,0,0.007803184,41,0,0.499404904,4200,8,0,1,0,0
"19313",19313,0,0.71470382,40,0,0.303580284,10082,9,0,1,0,0
"30519",30519,1,0.9999999,62,98,0,NA,0,98,0,98,0
"129466",129466,1,0.546308676,36,0,1.178397579,7600,12,0,4,0,0
"43711",43711,0,0.033944567,45,2,0.159061989,5500,9,0,1,0,0
"52744",52744,0,0.900314417,43,2,0.310758886,4163,8,0,1,0,1
"52114",52114,0,0.001295638,62,0,0.24611327,7203,3,0,1,0,1
"23015",23015,0,0.002725502,62,0,0.312421895,4000,10,0,1,0,0
"124130",124130,0,0.023323816,74,0,53,NA,7,0,0,0,NA
"64245",64245,0,0.883929838,46,2,1949,NA,14,0,2,0,1
"124491",124491,0,0.112849704,40,2,4.301499605,3800,20,0,1,0,2
"100389",100389,1,1.054908486,41,2,0.340797086,9333,6,1,1,1,3
"52852",52852,1,0.612181958,36,3,0.23194341,2685,7,1,0,1,1
"68588",68588,0,0.895652609,40,0,3579,NA,5,0,2,0,1
"19448",19448,0,0.085869194,45,1,0.483839752,5166,6,0,1,0,1
"122368",122368,0,0.988477288,54,0,0.162562488,5400,4,0,0,0,0
"9961",9961,0,0.165921374,67,0,0.263138949,8333,6,0,1,0,1
"61948",61948,0,0.61719535,30,0,0.097780444,5000,10,0,0,0,0
"76578",76578,0,0.166834158,58,0,0.319575586,10272,15,0,2,0,2
"142191",142191,0,0.135115831,65,0,0.228628562,6000,11,0,2,0,0
"52292",52292,0,0.016884481,53,0,0.131486851,10000,6,0,1,0,1
"143763",143763,0,0.04649062,53,0,754,NA,9,0,1,0,1
"141726",141726,0,0.989832787,40,0,0.862039417,3500,7,0,2,0,1
"798",798,0,0.002965614,29,0,0.515939338,3230,8,0,1,0,0
"124221",124221,0,0.344952351,43,2,0.464053595,10000,9,0,2,0,1
"127501",127501,0,0.012776989,68,0,1912,NA,5,0,1,0,0
"122891",122891,0,0.041535116,38,0,0.06912068,16000,10,0,1,0,0
"36747",36747,0,0.084434225,61,0,0.239339752,8723,10,0,2,0,0
"29144",29144,0,0.822245653,56,0,1.070794336,4166,14,0,2,1,2
"21941",21941,0,0.177960816,51,1,0.27507641,7197,13,0,1,0,1
"75619",75619,0,0.219165698,49,0,0.12029531,6907,4,0,0,0,2
"140110",140110,0,0.9999999,50,0,1046,NA,4,0,1,0,0
"45707",45707,0,0.717583236,47,0,0.375797804,11750,9,0,2,0,1
"146280",146280,0,0.648693369,42,0,0.392357254,4500,5,0,2,0,1
"24379",24379,0,0.131264605,47,1,3122,NA,13,0,2,0,0
"21549",21549,0,0.137720226,64,0,0.179646706,9000,15,0,2,0,0
"107652",107652,0,0.048347226,62,0,0.297325255,6766,12,0,2,0,0
"74855",74855,0,0.462076184,39,0,0.22124219,2720,5,0,0,0,0
"41402",41402,0,0.9999999,48,0,0.59311788,4300,6,0,2,0,1
"113338",113338,0,0.001119808,56,0,0.190629183,3734,12,0,1,0,0
"11169",11169,0,0.274523138,44,0,0.353637197,12000,11,0,1,0,2
"55344",55344,0,0,53,0,0.443717277,2291,7,0,1,0,3
"120498",120498,0,0.9999999,65,0,698,NA,1,0,1,0,0
"48374",48374,0,0.9999999,28,0,4,NA,1,0,0,0,0
"69624",69624,0,0.9999999,31,0,0.241172552,1500,4,0,0,0,0
"137413",137413,0,0.078541374,52,1,0.368947135,4501,9,0,1,0,1
"928",928,0,0.028775625,44,0,0.137224283,5122,4,0,0,0,0
"59279",59279,1,0.398446385,76,1,0.141287153,12010,12,0,2,0,0
"49413",49413,0,0.300082315,35,0,0.85791194,5200,12,0,3,0,0
"65761",65761,0,0.222355529,31,0,0.188326346,3100,6,0,0,0,1
"36919",36919,0,0.9999999,54,0,0.541745474,3700,2,0,1,0,1
"17211",17211,0,0.013293033,64,0,0.006516291,3989,5,0,0,0,0
"142859",142859,0,0.543866858,26,0,2010,NA,7,0,1,0,0
"130285",130285,0,0.025979062,49,0,0.178901758,12000,11,0,2,0,3
"61849",61849,0,0.111492806,41,0,0.067063277,9244,3,0,0,0,3
"73934",73934,0,0.01856419,67,0,0.319872051,2500,7,0,1,0,0
"106469",106469,0,0.67373293,39,0,0.177071064,7640,10,0,1,0,3
"78366",78366,0,0,56,0,0.478772044,1530,6,0,1,0,0
"116031",116031,0,0.9999999,34,0,0.934313137,3333,4,0,1,0,0
"102770",102770,0,0.482725864,53,0,0.329906225,8850,11,0,2,0,0
"103186",103186,1,0.954510762,45,1,184,NA,9,0,0,0,0
"138332",138332,0,0.006023116,44,0,0.119510299,5145,3,0,0,0,0
"59549",59549,0,0.16254417,41,0,1497,NA,7,0,1,0,1
